Player,Gls,Ast,xG,xA,Season
Juan Mata,3,5,3.5,4.9,17/18
Jesse Lingard,8,5,8.4,3.5,17/18
Anthony Martial,9,5,6.9,5.7,17/18
Marcus Rashford,7,5,6.3,3.3,17/18
Victor Lindelöf,0,0,0,0.4,17/18
Ander Herrera,0,2,0.7,1.1,17/18
Alexis Sánchez,2,3,3.7,2.4,17/18
Eric Bailly,1,0,1,0.3,17/18
Henrikh Mkhitaryan,1,5,1.3,3.5,17/18
Luke Shaw,0,0,0.4,0.3,17/18
Marcos Rojo,0,0,0.1,0,17/18
Scott McTominay,0,0,0,0,17/18
Marouane Fellaini,4,0,2.1,0.1,17/18
Matteo Darmian,0,0,0,0.1,17/18
Daley Blind,0,0,0.1,0.4,17/18
Michael Carrick,0,0,0.2,0.1,17/18
Zlatan Ibrahimović,0,0,0.2,0.1,17/18
Sergio Romero,0,0,0,0,17/18
Axel Tuanzebe,0,0,0,0,17/18
David de Gea,0,0,0,0,18/19
Paul Pogba,13,9,14.4,5,18/19
Victor Lindelöf,1,1,0.6,1,18/19
Luke Shaw,1,4,1,3.5,18/19
Ashley Young,2,2,0.4,3.3,18/19
Nemanja Matić,1,0,1.5,0.7,18/19
Marcus Rashford,10,6,9.4,4.2,18/19
Chris Smalling,1,0,0.9,0.4,18/19
Romelu Lukaku,12,0,11.3,2.4,18/19
Jesse Lingard,4,2,4.8,2.1,18/19
Anthony Martial,10,2,6.3,2.6,18/19
Ander Herrera,2,3,1.6,1.4,18/19
Juan Mata,3,2,1.5,3.3,18/19
Phil Jones,0,1,0.4,0.5,18/19
Fred,1,1,0.8,0.9,18/19
Diogo Dalot,0,2,0.5,2,18/19
Alexis Sánchez,1,3,1.4,3.3,18/19
Scott McTominay,2,0,1.1,0,18/19
Eric Bailly,0,0,0.2,0,18/19
Marouane Fellaini,0,1,0.2,0.3,18/19
Andreas Pereira,1,1,0.2,0.8,18/19
Antonio Valencia,0,0,0.1,0.6,18/19
Matteo Darmian,0,0,0.1,0.1,18/19
Marcos Rojo,0,0,0.3,0,18/19
Mason Greenwood,0,0,0.9,0.1,18/19
Tahith Chong,0,0,0.1,0,18/19
Angel Gomes,0,0,0.1,0,18/19
James Garner,0,0,0,0,18/19
David de Gea,0,0,0,0,19/20
Harry Maguire,1,1,2,0.6,19/20
Victor Lindelöf,1,0,0.4,0.3,19/20
Aaron Wan-Bissaka,0,4,0.9,2.9,19/20
Marcus Rashford,17,7,17.3,4.6,19/20
Anthony Martial,17,6,10.9,4.1,19/20
Daniel James,3,6,3.6,4,19/20
Fred,0,0,2,2.5,19/20
Scott McTominay,4,1,1.5,0.7,19/20
Luke Shaw,0,0,0.5,1.5,19/20
Nemanja Matić,0,2,0.2,1.2,19/20
Andreas Pereira,1,3,2.3,3.8,19/20
Bruno Fernandes,8,7,5.8,2.5,19/20
Paul Pogba,1,3,2,2.7,19/20
Mason Greenwood,10,1,3.6,0.7,19/20
Brandon Williams,1,0,0.7,0.6,19/20
Ashley Young,0,0,0.1,1.2,19/20
Jesse Lingard,1,0,2.7,0.9,19/20
